surah,canonical_ayah_count,kazimirski_declared_count,kazimirski_actual_li_count,flugel_offset_indicator,direct_1_1,offset_only,one_to_many_YN,many_to_one_YN,ambiguous_YN,manual_review_required,A,B,C,D,F,uncovered_canonical_ayahs,muqattaat,verification_level
47,38,40,40,YES,NO,NO,YES,YES,NO,YES,3,31,1,5,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
48,29,29,29,NO,YES,NO,NO,NO,NO,NO,29,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
49,18,18,18,NO,YES,NO,NO,NO,NO,NO,18,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
50,45,45,45,NO,NO,NO,YES,YES,NO,YES,12,30,1,2,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
51,60,60,60,NO,YES,NO,NO,NO,NO,NO,60,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
52,49,49,49,NO,YES,NO,NO,NO,NO,NO,49,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
53,62,62,62,NO,NO,NO,YES,YES,NO,YES,29,30,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
54,55,55,55,NO,YES,NO,NO,NO,NO,NO,55,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
55,78,78,78,NO,NO,NO,YES,YES,NO,YES,61,14,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
56,96,96,96,NO,NO,NO,YES,YES,NO,YES,43,47,2,4,0,0,NO,CONCORDANCE-DERIVED-ONLY
57,29,29,29,NO,NO,NO,YES,YES,NO,YES,21,5,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
58,22,22,22,NO,NO,NO,YES,YES,NO,YES,2,17,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
59,24,24,24,NO,YES,NO,NO,NO,NO,NO,24,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
60,13,13,13,NO,YES,NO,NO,NO,NO,NO,13,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
61,14,14,14,NO,YES,NO,NO,NO,NO,NO,14,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
62,11,11,11,NO,YES,NO,NO,NO,NO,NO,11,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
63,11,11,11,NO,YES,NO,NO,NO,NO,NO,11,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
64,18,18,18,NO,YES,NO,NO,NO,NO,NO,18,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
65,12,12,12,NO,NO,NO,YES,YES,NO,YES,8,0,2,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
66,12,12,12,NO,YES,NO,NO,NO,NO,NO,12,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
67,30,30,30,NO,YES,NO,NO,NO,NO,NO,30,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
68,52,52,52,NO,YES,NO,NO,NO,NO,YES,52,0,0,0,0,0,YES,FULL-TEXT-SAMPLE-VERIFIED
69,52,52,52,NO,YES,NO,NO,NO,NO,NO,52,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
70,44,44,44,NO,YES,NO,NO,NO,NO,NO,44,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
71,28,29,29,YES,NO,NO,YES,YES,NO,YES,5,19,1,4,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
72,28,28,28,NO,NO,NO,YES,YES,NO,YES,23,2,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
73,20,20,20,NO,YES,NO,NO,NO,NO,NO,20,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
74,56,55,55,YES,NO,NO,YES,YES,NO,YES,32,15,4,4,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
75,40,40,40,NO,YES,NO,NO,NO,NO,NO,40,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
76,31,31,31,NO,YES,NO,NO,NO,NO,NO,31,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
77,50,50,50,NO,YES,NO,NO,NO,NO,NO,50,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
78,40,41,41,YES,NO,NO,NO,YES,NO,YES,39,0,0,2,0,0,NO,FULL-TEXT-SAMPLE-VERIFIED
79,46,46,46,NO,YES,NO,NO,NO,NO,NO,46,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
80,42,42,42,NO,NO,NO,YES,YES,NO,YES,37,2,1,2,0,0,NO,CONCORDANCE-DERIVED-ONLY
81,29,29,29,NO,YES,NO,NO,NO,NO,NO,29,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
82,19,19,19,NO,YES,NO,NO,NO,NO,NO,19,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
83,36,36,36,NO,YES,NO,NO,NO,NO,NO,36,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
84,25,25,25,NO,YES,NO,NO,NO,NO,NO,25,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
85,22,22,22,NO,YES,NO,NO,NO,NO,NO,22,0,0,0,0,0,NO,CONCORDANCE-DERIVED-ONLY
